time,Clock_1.out_0,Voltage_Steps.out_0,Load_Torque_Steps.out_0,Clock_0.out_0,DC_Motor.Adder_3.out_0,DC_Motor.Adder_1.out_0,DC_Motor.Current,DC_Motor.a2.out_0,DC_Motor.Voltage.out_0,DC_Motor.a3.out_0,DC_Motor.a1.out_0,DC_Motor.Adder_2.out_0,DC_Motor.a4.out_0,DC_Motor.x1_current.out_0,DC_Motor.Rotor_Shaft_Speed,DC_Motor.random_noise1.PythonScript_0.out_0,DC_Motor.random_noise1.Outport_0,DC_Motor.random_noise1.Clock_0.out_0,DC_Motor.b2.out_0,DC_Motor.b1.out_0,DC_Motor.Load_torque.out_0,DC_Motor.random_noise2.PythonScript_0.out_0,DC_Motor.random_noise2.Clock_0.out_0,DC_Motor.random_noise2.Outport_0,DC_Motor.x2_speed.out_0,DC_Motor.Adder_0.out_0
9.9999999999999978e-02,9.9999999999999978e-02,4.0000000000000000e+00,1.0000000000000001e-01,9.9999999999999978e-02,-2.1597333523261462e+01,1.0445163127195609e+02,6.4066918389534022e+00,-1.2905972181335718e+01,4.0000000000000000e+00,9.0265425504146640e+02,1.0343631646770049e+02,6.4066918389534022e+00,-1.7973762304896868e+00,6.0337851272825294e+00,-2.1597333523261462e+01,2.0523537200238917e+00,2.0523537200238917e+00,9.9999999999999978e-02,8.0000000000000000e+02,1.1428571428571428e+02,1.0000000000000001e-01,3.7290671167087264e-01,9.9999999999999978e-02,3.7290671167087264e-01,-2.3649687243285353e+01,2.3755369999349497e+01
1.0999999999999997e-01,1.0999999999999997e-01,4.0000000000000000e+00,1.0000000000000001e-01,1.0999999999999997e-01,-2.0028053469036799e+01,1.3657254738140008e+02,6.3049346124918539e+00,-1.2245383255347217e+01,4.0000000000000000e+00,9.3486716939924179e+02,1.0712763591282373e+02,6.3049346124918539e+00,-1.7053779821583039e+00,6.2491120949147181e+00,-2.0028053469036799e+01,2.4111305067303577e+00,2.4111305067303577e+00,1.0999999999999997e-01,8.0000000000000000e+02,1.1428571428571428e+02,1.0000000000000001e-01,5.5822517577135689e-02,1.0999999999999997e-01,5.5822517577135689e-02,-2.2439183975767158e+01,1.9403461628237764e+01
1.1999999999999997e-01,1.1999999999999997e-01,4.0000000000000000e+00,1.0000000000000001e-01,1.1999999999999997e-01,-1.8544772682135786e+01,1.6257261175357118e+02,6.8710133025362712e+00,-1.1426570535041943e+01,4.0000000000000000e+00,9.6098126737539258e+02,1.1012008411482726e+02,6.8710133025362712e+00,-1.5913443781786163e+00,6.4236715733649241e+00,-1.8544772682135786e+01,2.3939691360039017e+00,2.3939691360039017e+00,1.1999999999999997e-01,8.0000000000000000e+02,1.1428571428571428e+02,1.0000000000000001e-01,4.4734172917134662e-01,1.1999999999999997e-01,4.4734172917134662e-01,-2.0938741818139690e+01,1.5592200705928960e+01
1.2999999999999998e-01,1.2999999999999998e-01,4.0000000000000000e+00,1.0000000000000001e-01,1.2999999999999998e-01,-1.7364904981879185e+01,1.8322205743632188e+02,6.9712294385587041e+00,-1.0480796853060863e+01,4.0000000000000000e+00,9.8176242813636679e+02,1.1250142415619177e+02,6.9712294385587041e+00,-1.4596292999550733e+00,6.5625830757778534e+00,-1.7364904981879185e+01,1.8407437017402009e+00,1.8407437017402009e+00,1.2999999999999998e-01,8.0000000000000000e+02,1.1428571428571428e+02,1.0000000000000001e-01,4.0864636278085070e-01,1.2999999999999998e-01,4.0864636278085070e-01,-1.9205648683619387e+01,1.2265086982583369e+01
1.3999999999999999e-01,1.3999999999999999e-01,4.0000000000000000e+00,1.0000000000000001e-01,1.3999999999999999e-01,-1.6128236611901951e+01,1.9921002219958510e+02,6.8593583084615197e+00,-9.4353465597171677e+00,4.0000000000000000e+00,9.9789598964205379e+02,1.1435018979855468e+02,6.8593583084615197e+00,-1.3140325575312917e+00,6.6704277382490229e+00,-1.6128236611901951e+01,1.1616654608782029e+00,1.1616654608782029e+00,1.3999999999999999e-01,8.0000000000000000e+02,1.1428571428571428e+02,1.0000000000000001e-01,1.8893057021249665e-01,1.3999999999999999e-01,1.8893057021249665e-01,-1.7289902072780155e+01,9.3708710468767720e+00
1.4999999999999999e-01,1.4999999999999999e-01,4.0000000000000000e+00,1.0000000000000001e-01,1.4999999999999999e-01,-1.4020222516529277e+01,2.1115212898692610e+02,7.0202830547552564e+00,-8.3139470934416622e+00,4.0000000000000000e+00,1.0099942703864782e+03,1.1573654740868734e+02,7.0202830547552564e+00,-1.1578586004478966e+00,6.7512985988400951e+00,-1.4020222516529277e+01,1.2147590683114668e+00,1.2147590683114668e+00,1.4999999999999999e-01,8.0000000000000000e+02,1.1428571428571428e+02,1.0000000000000001e-01,2.6898445591516162e-01,1.4999999999999999e-01,2.6898445591516162e-01,-1.5234981584840744e+01,6.8631139704686035e+00
1.6000000000000000e-01,1.6000000000000000e-01,4.0000000000000000e+00,1.0000000000000001e-01,1.6000000000000000e-01,-1.2967389266649178e+01,2.1959742704610935e+02,6.9206677008873356e+00,-7.1371509500766317e+00,4.0000000000000000e+00,1.0186034573326432e+03,1.1672308525584147e+02,6.9206677008873356e+00,-9.9396971346616980e-01,6.8088466399240861e+00,-1.2967389266649178e+01,1.1115959474779336e-01,1.1115959474779336e-01,1.6000000000000000e-01,8.0000000000000000e+02,1.1428571428571428e+02,1.0000000000000001e-01,1.1182106096324951e-01,1.6000000000000000e-01,1.1182106096324951e-01,-1.3078548861396971e+01,4.6997799799494402e+00
1.7000000000000001e-01,1.7000000000000001e-01,4.0000000000000000e+00,1.0000000000000001e-01,1.7000000000000001e-01,-9.7611432994169718e+00,2.2503474201535369e+02,7.0586563674209781e+00,-5.9226814067472056e+00,4.0000000000000000e+00,1.0242099078508538e+03,1.1736553565899776e+02,7.0586563674209781e+00,-8.2483416449987279e-01,6.8463229134415364e+00,-9.7611432994169718e+00,1.0919378124234607e+00,1.0919378124234607e+00,1.7000000000000001e-01,8.0000000000000000e+02,1.1428571428571428e+02,1.0000000000000001e-01,2.1233345397944214e-01,1.7000000000000001e-01,2.1233345397944214e-01,-1.0853081111840432e+01,2.8428600334637224e+00
1.7999999999999999e-01,1.7999999999999999e-01,4.0000000000000000e+00,1.0000000000000001e-01,1.7999999999999999e-01,-6.7508046556184054e+00,2.2789848010588071e+02,7.0956203552035726e+00,-4.6857451012096449e+00,4.0000000000000000e+00,1.0272459103692725e+03,1.1771343510725048e+02,7.0956203552035726e+00,-6.5256973660825435e-01,6.8666170479229445e+00,-6.7508046556184054e+00,1.8356392471217839e+00,1.8356392471217839e+00,1.7999999999999999e-01,8.0000000000000000e+02,1.1428571428571428e+02,1.0000000000000001e-01,2.2900330728062845e-01,1.7999999999999999e-01,2.2900330728062845e-01,-8.5864439027401893e+00,1.2580242796734495e+00
1.9000000000000000e-01,1.9000000000000000e-01,4.0000000000000000e+00,1.0000000000000001e-01,1.9000000000000000e-01,-4.2100031614456412e+00,2.2857392853765077e+02,7.0080842796586582e+00,-3.4393143294445387e+00,4.0000000000000000e+00,1.0280949454949114e+03,1.1781072713845431e+02,7.0080842796586582e+00,-4.7898304273939657e-01,6.8722924164098353e+00,-4.2100031614456412e+00,2.0924052956516817e+00,2.0924052956516817e+00,1.9000000000000000e-01,8.0000000000000000e+02,1.1428571428571428e+02,1.0000000000000001e-01,1.3579186324882320e-01,1.9000000000000000e-01,1.3579186324882320e-01,-6.3024084570973233e+00,-8.5698523295491214e-02
2.0000000000000001e-01,2.0000000000000001e-01,4.0000000000000000e+00,1.0000000000000001e-01,2.0000000000000001e-01,-2.9351405763854821e+00,2.2740209155243014e+02,6.9772281707720634e+00,-2.1943817020013006e+00,4.0000000000000000e+00,1.0270964865614708e+03,1.1769631244019909e+02,6.9772281707720634e+00,-3.0560499095934346e-01,6.8656182256782810e+00,-2.9351405763854821e+00,1.0859777257111423e+00,1.0859777257111423e+00,2.0000000000000001e-01,8.0000000000000000e+02,1.1428571428571428e+02,1.0000000000000001e-01,1.1160994509378236e-01,2.0000000000000001e-01,1.1160994509378236e-01,-4.0211183020966246e+00,-1.2162164524835219e+00
2.0999999999999999e-01,2.0999999999999999e-01,4.0000000000000000e+00,1.0000000000000001e-01,2.0999999999999999e-01,-6.8457195783063085e-01,2.2468409864425669e+02,7.3204106681499104e+00,-9.6018959239071322e-01,4.0000000000000000e+00,1.0245503759052117e+03,1.1740455033291195e+02,7.3204106681499104e+00,-1.3372273904498941e-01,6.8485987694198638e+00,-6.8457195783063085e-01,1.0749377664455455e+00,1.0749377664455455e+00,2.0999999999999999e-01,8.0000000000000000e+02,1.1428571428571428e+02,1.0000000000000001e-01,4.7181189873004664e-01,2.0999999999999999e-01,4.7181189873004664e-01,-1.7595097242761764e+00,-2.1586464548069557e+00
2.2000000000000000e-01,2.2000000000000000e-01,4.0000000000000000e+00,1.0000000000000001e-01,2.2000000000000000e-01,2.6627513249679184e+00,2.2068521910886480e+02,7.1995271926496676e+00,2.5556338213852314e-01,4.0000000000000000e+00,1.0207208106584192e+03,1.1696571550707630e+02,7.1995271926496676e+00,3.5591549554370251e-02,6.8230000712461178e+00,2.6627513249679184e+00,2.1944414624104152e+00,2.1944414624104152e+00,2.2000000000000000e-01,8.0000000000000000e+02,1.1428571428571428e+02,1.0000000000000001e-01,3.7652712140354966e-01,2.2000000000000000e-01,3.7652712140354966e-01,4.6830986255750329e-01,-2.9355646035005378e+00
2.3000000000000001e-01,2.3000000000000001e-01,4.0000000000000000e+00,1.0000000000000001e-01,2.3000000000000001e-01,5.0585341262728782e+00,2.1563851461701933e+02,7.2387907355005572e+00,1.4465367865998957e+00,4.0000000000000000e+00,1.0158399694783992e+03,1.1640641361478983e+02,7.2387907355005572e+00,2.0145486137988078e-01,6.7903741275294065e+00,5.0585341262728782e+00,2.4078122660112893e+00,2.4078122660112893e+00,2.3000000000000001e-01,8.0000000000000000e+02,1.1428571428571428e+02,1.0000000000000001e-01,4.4841660797115029e-01,2.3000000000000001e-01,4.4841660797115029e-01,2.6507218602615894e+00,-3.5672361156754420e+00
2.3999999999999999e-01,2.3999999999999999e-01,4.0000000000000000e+00,1.0000000000000001e-01,2.3999999999999999e-01,7.4907913000976070e+00,2.0974815925777034e+02,6.8102218376996149e+00,2.6075818070020991e+00,4.0000000000000000e+00,1.0101113093942429e+03,1.1574995905969169e+02,6.8102218376996149e+00,3.6315013647254374e-01,6.7520809451486823e+00,7.4907913000976070e+00,2.7125000307220319e+00,2.7125000307220319e+00,2.3999999999999999e-01,8.0000000000000000e+02,1.1428571428571428e+02,1.0000000000000001e-01,5.8140892550932743e-02,2.3999999999999999e-01,5.8140892550932743e-02,4.7782912693755755e+00,-4.0718265809795184e+00
2.5000000000000000e-01,2.5000000000000000e-01,4.0000000000000000e+00,1.0000000000000001e-01,2.5000000000000000e-01,9.7629821515898243e+00,2.0319245437183042e+02,6.7231952027253969e+00,3.7345919626046085e+00,4.0000000000000000e+00,1.0037125598493450e+03,1.1501671808816023e+02,6.7231952027253969e+00,5.2010547751456859e-01,6.7093085551426803e+00,9.7629821515898243e+00,2.9194890263981312e+00,2.9194890263981312e+00,2.5000000000000000e-01,8.0000000000000000e+02,1.1428571428571428e+02,1.0000000000000001e-01,1.3886647582716405e-02,2.5000000000000000e-01,1.3886647582716405e-02,6.8434931251916922e+00,-4.4655957650505655e+00
2.6000000000000001e-01,2.6000000000000001e-01,4.0000000000000000e+00,1.0000000000000001e-01,2.6000000000000001e-01,9.5807035609109086e+00,1.9612656349768719e+02,7.0056484054330799e+00,4.8243694960699983e+00,4.0000000000000000e+00,9.9679843904007180e+02,1.1422442005806782e+02,7.0056484054330799e+00,6.7187554238461777e-01,6.6630911700539563e+00,9.5807035609109086e+00,7.4023589795541200e-01,7.4023589795541200e-01,2.6000000000000001e-01,8.0000000000000000e+02,1.1428571428571428e+02,1.0000000000000001e-01,3.4255723537912353e-01,2.6000000000000001e-01,3.4255723537912353e-01,8.8404676629554970e+00,-4.7630752684235489e+00
2.7000000000000002e-01,2.7000000000000002e-01,4.0000000000000000e+00,1.0000000000000001e-01,2.7000000000000002e-01,1.1022578974447717e+01,1.8868499087865624e+02,6.8112866063404010e+00,5.8745059789090783e+00,4.0000000000000000e+00,9.8950311579509071e+02,1.1338843954871170e+02,6.8112866063404010e+00,8.1812491643445828e-01,6.6143256403415158e+00,1.1022578974447717e+01,2.5777744241537104e-01,2.5777744241537104e-01,2.7000000000000002e-01,8.0000000000000000e+02,1.1428571428571428e+02,1.0000000000000001e-01,1.9696096599888507e-01,2.7000000000000002e-01,1.9696096599888507e-01,1.0764801532032346e+01,-4.9772312419065088e+00
